ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
47114929,"29250 Us Highway 19 N Lot 537, Clearwater, FL 33761","Clearwater",FL,147000,1709,1.16,37.74,462,14700,710,148,150,TB8473487,2,2,1977,"MANUFACTURED"
45478706,"13150 Kings Point Dr APT 15C, Fort Myers, FL 33919","Fort Myers",FL,125000,1453,1.16,24.18,252,12500,604,107,150,2025016628,1,1,1963,"CONDO"
30212374,"46 Hillery Ave, Buffalo, NY 14210","Buffalo",NY,149900,1736,1.16,62.7,783,14990,724,79,150,B1660521,3,2,1935,"SINGLE_FAMILY"
54088552,"325 S 13th St, Slaton, TX 79364","Slaton",TX,150000,1734,1.16,54.15,677,15000,725,182,150,202558459,5,3,1958,"SINGLE_FAMILY"
2136730305,"707 E San Jacinto Ave, Crockett, TX 75835","Crockett",TX,100000,1151,1.15,52.94,441,10000,483,77,150,26001354,4,2,1950,"MULTI_FAMILY"
79225730,"3855 Giles Cir, Norfolk, VA 23513","Norfolk",VA,224000,2561,1.14,51.42,960,22400,1082,319,200,10626411,3,2,1946,"SINGLE_FAMILY"
43686557,"7260 Woodstock St, Keystone Heights, FL 32656","Keystone Heights",FL,98900,1130,1.14,54.11,446,9890,478,56,150,P4937595,2,2,1982,"MANUFACTURED"
87129434,"710 S Magnolia St, Palestine, TX 75801","Palestine",TX,225000,2569,1.14,48.81,915,22500,1087,367,200,21077000,5,3,1910,"SINGLE_FAMILY"
88115324,"16588 Woodingham Dr, Detroit, MI 48221","Detroit",MI,125000,1418,1.13,56.33,587,12500,604,77,150,20261011233,3,2,1929,"SINGLE_FAMILY"
109115582,"591 Featherston St, Waldron, AR 72958","Waldron",AR,79000,896,1.13,49.51,326,7900,382,38,150,1328148,3,1,1950,"SINGLE_FAMILY"
88353277,"14024 Pembroke Ave, Detroit, MI 48235","Detroit",MI,124900,1416,1.13,46.87,488,12490,603,175,150,20261023375,3,1,1951,"SINGLE_FAMILY"
245947576,"4709 Jonathan Edwards Ct, Mission, TX 78574","Mission",TX,180000,2034,1.13,39.49,592,18000,870,422,150,497459,4,3,2014,"SINGLE_FAMILY"
95227941,"119 Fleetwood Street, Presque Isle, ME 04769","Presque Isle",ME,117000,1322,1.13,37.69,367,11700,565,239,150,1654401,3,1,1968,"SINGLE_FAMILY"
99365703,"34208 343rd Avenue Ct E, Ashford, WA 98304","Ashford",WA,199999,2259,1.13,63.84,1064,20000,966,51,150,2495596,1,1,2025,"SINGLE_FAMILY"
2075241655,"910 Tropic St, Titusville, FL 32796","Titusville",FL,199000,2246,1.13,53.72,891,19900,961,244,150,1068776,3,2,1962,"SINGLE_FAMILY"
42225442,"4518 Suncrest Dr, Memphis, TN 38127","Memphis",TN,79900,901,1.13,45.17,301,7990,386,64,150,4136802,3,1,1959,"SINGLE_FAMILY"
521556,"1467 Ridge Pl SE, Washington, DC 20020","Washington",DC,299900,3374,1.13,19.54,488,29990,1449,1237,200,DCDC2248288,3,3,1927,"TOWNHOUSE"
2077367670,"0 Casas Dr, Unincorporated, TX 99999","Unincorporated",TX,110000,1237,1.12,48.81,447,11000,531,108,150,911306,1,1,2017,"SINGLE_FAMILY"
26275814,"318 Charcliff, San Antonio, TX 78220","San Antonio",TX,115000,1293,1.12,47.5,455,11500,556,132,150,1891740,3,1,1952,"SINGLE_FAMILY"
2060616602,"1160 Lester Road, Ellensburg, WA 98926","Ellensburg",WA,155000,1742,1.12,58.17,751,15500,749,92,150,2492271,0,0,0,"LOT"
2058774512,"1428 Smythe Ave #58, Memphis, TN 38114","Memphis",TN,80000,899,1.12,44.77,298,8000,387,64,150,10196660,2,1,1950,"SINGLE_FAMILY"
113341864,"2107 Pearl St, Portsmouth, VA 23704","Portsmouth",VA,122900,1373,1.12,48.03,492,12290,594,137,150,10611831,2,2,1939,"SINGLE_FAMILY"
50345653,"91 Orgain St, Beaumont, TX 77707","Beaumont",TX,143000,1596,1.12,42.7,509,14300,691,246,150,263249,3,2,0,"SINGLE_FAMILY"
87614010,"514 S Avenue C, Olney, TX 76374","Olney",TX,75000,836,1.11,38.27,239,7500,362,84,150,21230088,2,1,1950,"SINGLE_FAMILY"
231670972,"601 Travis St, Alleyton, TX 78935","Alleyton",TX,150000,1671,1.11,61.47,768,15000,725,28,150,3969069,3,2,1996,"SINGLE_FAMILY"
1024575,"417 62nd St, Fairfield, AL 35064","Fairfield",AL,79900,888,1.11,44.66,297,7990,386,55,150,21447689,2,1,1925,"SINGLE_FAMILY"
42252590,"5057 Gill Rd, Memphis, TN 38109","Memphis",TN,109000,1211,1.11,48.51,441,10900,527,94,150,10216831,4,1,1961,"SINGLE_FAMILY"
52767013,"4307 Jesenia St, San Juan, TX 78589","San Juan",TX,130000,1443,1.11,57.09,618,13000,628,46,150,488287,3,2,1983,"SINGLE_FAMILY"
447162473,"510 Tri-Lakes Road, Humansville, MO 65674","Humansville",MO,159900,1768,1.11,57.65,768,15990,773,77,150,60303793,4,2,2024,"SINGLE_FAMILY"
83616047,"7520 Studebaker Ave, Warren, MI 48091","Warren",MI,107656,1188,1.10,36.88,331,10766,520,187,150,20251004768,2,1,1940,"SINGLE_FAMILY"
88342092,"15011 Monte Vista St, Detroit, MI 48238","Detroit",MI,110000,1212,1.10,51.34,471,11000,531,60,150,20261015347,3,1,1927,"SINGLE_FAMILY"
13062571,"14806 E 2nd Ave Avenue #105G, Aurora, CO 80011","Aurora",CO,135000,1487,1.10,26.74,301,13500,652,65,150,8313416,1,1,1980,"CONDO"
18825172,"77 Mill Rd, Redway, CA 95560","Redway",CA,170000,1872,1.10,53.08,752,17000,821,149,150,270163,2,1,1970,"SINGLE_FAMILY"
52825908,"2208 W Bogey Dr, Mission, TX 78572","Mission",TX,124000,1365,1.10,42.56,440,12400,599,138,150,498165,2,2,2004,"MANUFACTURED"
45616939,"1160 Tapley Trl, Tallahassee, FL 32311","Tallahassee",FL,199900,2199,1.10,46.97,782,19990,966,301,150,394625,3,2,1981,"SINGLE_FAMILY"
